adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
788,Butter,BrandE,Beverages,Artificial sweeteners,1/23/2024,Sensory Evaluation,Severe,Low,Investigation Launched
789,Chicken,BrandE,Dairy,Melamine,6/25/2024,Microbiological Analysis,Severe,Medium,Product Recall
790,Butter,BrandA,Beverages,Coloring agents,4/1/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
791,Yogurt,BrandA,Condiments,Artificial sweeteners,6/4/2024,Spectroscopy,Moderate,Medium,Warning Issued
792,Juice,BrandA,Condiments,Coloring agents,5/17/2024,Chemical Analysis,Minor,High,Warning Issued
793,Cheese,BrandA,Dairy,Water,6/13/2024,Sensory Evaluation,Minor,High,Product Recall
794,Bread,BrandA,Dairy,Melamine,5/22/2024,Chemical Analysis,Minor,High,Investigation Launched
795,Milk,BrandE,Meat,Chalk,3/6/2024,Chemical Analysis,Minor,High,Fine Imposed
796,Milk,BrandC,Meat,Melamine,4/15/2024,Chemical Analysis,Moderate,Medium,Product Recall
797,Bread,BrandB,Dairy,Artificial sweeteners,4/5/2024,Chemical Analysis,Severe,High,Warning Issued
798,Yogurt,BrandD,Meat,Melamine,4/17/2024,Chemical Analysis,Severe,Medium,Fine Imposed
799,Chicken,BrandC,Dairy,Artificial sweeteners,3/24/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
800,Wine,BrandD,Beverages,Melamine,1/12/2024,Spectroscopy,Severe,Medium,Investigation Launched
801,Honey,BrandA,Beverages,Water,1/11/2024,Chemical Analysis,Moderate,Medium,Product Recall
802,Cheese,BrandA,Beverages,Chalk,5/10/2024,Spectroscopy,Moderate,Medium,Product Recall
803,Butter,BrandA,Meat,Chalk,2/28/2024,Microbiological Analysis,Moderate,High,Warning Issued
804,Wine,BrandA,Condiments,Water,1/12/2024,Microbiological Analysis,Minor,Medium,Product Recall
805,Honey,BrandA,Dairy,Water,3/28/2024,Sensory Evaluation,Moderate,Low,Warning Issued
806,Milk,BrandD,Meat,Water,6/14/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
807,Chicken,BrandB,Meat,Coloring agents,5/1/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
808,Chicken,BrandA,Beverages,Melamine,6/12/2024,Sensory Evaluation,Minor,Medium,Warning Issued
809,Yogurt,BrandB,Dairy,Chalk,3/10/2024,Spectroscopy,Severe,High,Investigation Launched
810,Chicken,BrandB,Beverages,Chalk,4/5/2024,Microbiological Analysis,Severe,Low,Fine Imposed
811,Honey,BrandE,Bakery,Melamine,5/20/2024,Spectroscopy,Severe,High,Warning Issued
812,Juice,BrandD,Meat,Coloring agents,2/20/2024,Sensory Evaluation,Moderate,Low,Warning Issued
813,Juice,BrandE,Dairy,Artificial sweeteners,4/15/2024,Sensory Evaluation,Minor,Low,Warning Issued
814,Milk,BrandC,Meat,Coloring agents,1/21/2024,Chemical Analysis,Severe,Low,Warning Issued
815,Wine,BrandA,Bakery,Artificial sweeteners,3/7/2024,Microbiological Analysis,Moderate,Medium,Warning Issued
816,Chicken,BrandA,Condiments,Chalk,4/21/2024,Chemical Analysis,Minor,High,Product Recall
817,Bread,BrandB,Dairy,Melamine,3/16/2024,Microbiological Analysis,Minor,Low,Warning Issued
818,Chicken,BrandE,Meat,Coloring agents,2/13/2024,Chemical Analysis,Severe,High,Investigation Launched
819,Chicken,BrandD,Beverages,Water,5/10/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
820,Beef,BrandA,Dairy,Artificial sweeteners,2/18/2024,Chemical Analysis,Severe,Medium,Product Recall
821,Wine,BrandD,Beverages,Coloring agents,6/4/2024,Microbiological Analysis,Severe,Low,Product Recall
822,Yogurt,BrandC,Meat,Coloring agents,1/29/2024,Microbiological Analysis,Minor,Medium,Product Recall
823,Bread,BrandB,Condiments,Coloring agents,6/3/2024,Sensory Evaluation,Moderate,Medium,Product Recall
824,Wine,BrandC,Bakery,Coloring agents,5/7/2024,Sensory Evaluation,Minor,High,Fine Imposed
825,Honey,BrandD,Condiments,Melamine,4/9/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
826,Wine,BrandE,Beverages,Coloring agents,1/4/2024,Sensory Evaluation,Minor,Medium,Product Recall
827,Juice,BrandA,Beverages,Chalk,1/31/2024,Chemical Analysis,Minor,High,Product Recall
828,Beef,BrandC,Condiments,Artificial sweeteners,3/10/2024,Microbiological Analysis,Severe,High,Fine Imposed
829,Butter,BrandA,Bakery,Coloring agents,5/4/2024,Sensory Evaluation,Severe,High,Warning Issued
830,Juice,BrandA,Meat,Melamine,6/18/2024,Microbiological Analysis,Minor,Medium,Product Recall
831,Yogurt,BrandD,Meat,Coloring agents,2/5/2024,Spectroscopy,Severe,Medium,Investigation Launched
832,Chicken,BrandD,Condiments,Chalk,6/3/2024,Sensory Evaluation,Minor,High,Product Recall
833,Cheese,BrandD,Meat,Chalk,1/12/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
834,Juice,BrandC,Meat,Melamine,1/5/2024,Spectroscopy,Moderate,High,Fine Imposed
835,Chicken,BrandB,Condiments,Water,6/18/2024,Sensory Evaluation,Severe,Low,Product Recall
836,Bread,BrandC,Meat,Chalk,5/27/2024,Sensory Evaluation,Severe,High,Investigation Launched
837,Beef,BrandE,Meat,Artificial sweeteners,2/28/2024,Spectroscopy,Severe,High,Investigation Launched
838,Yogurt,BrandC,Meat,Artificial sweeteners,5/12/2024,Spectroscopy,Severe,Medium,Fine Imposed
839,Bread,BrandA,Beverages,Artificial sweeteners,4/2/2024,Sensory Evaluation,Severe,High,Product Recall
840,Chicken,BrandE,Bakery,Melamine,4/14/2024,Chemical Analysis,Minor,High,Warning Issued
841,Yogurt,BrandA,Beverages,Coloring agents,6/15/2024,Chemical Analysis,Severe,High,Fine Imposed
842,Bread,BrandA,Condiments,Coloring agents,6/1/2024,Microbiological Analysis,Minor,Low,Product Recall
843,Chicken,BrandA,Meat,Chalk,1/7/2024,Spectroscopy,Severe,Medium,Fine Imposed
844,Wine,BrandE,Meat,Water,1/17/2024,Spectroscopy,Minor,Low,Product Recall
845,Milk,BrandD,Meat,Chalk,3/21/2024,Microbiological Analysis,Severe,High,Fine Imposed
846,Yogurt,BrandD,Dairy,Artificial sweeteners,4/16/2024,Chemical Analysis,Moderate,High,Product Recall
847,Beef,BrandA,Condiments,Coloring agents,2/12/2024,Spectroscopy,Severe,High,Fine Imposed
848,Bread,BrandA,Dairy,Water,6/3/2024,Chemical Analysis,Minor,Medium,Fine Imposed
849,Beef,BrandC,Bakery,Artificial sweeteners,5/19/2024,Sensory Evaluation,Severe,High,Warning Issued
850,Cheese,BrandB,Bakery,Coloring agents,1/8/2024,Spectroscopy,Moderate,Medium,Product Recall
851,Butter,BrandB,Beverages,Artificial sweeteners,2/28/2024,Chemical Analysis,Severe,Medium,Fine Imposed
852,Bread,BrandA,Bakery,Artificial sweeteners,1/6/2024,Chemical Analysis,Minor,Low,Warning Issued
853,Wine,BrandB,Dairy,Chalk,2/5/2024,Sensory Evaluation,Severe,Low,Investigation Launched
854,Butter,BrandD,Bakery,Chalk,5/8/2024,Chemical Analysis,Minor,Low,Product Recall
855,Juice,BrandD,Beverages,Artificial sweeteners,5/4/2024,Spectroscopy,Moderate,High,Fine Imposed
856,Beef,BrandE,Condiments,Artificial sweeteners,1/4/2024,Spectroscopy,Moderate,Low,Investigation Launched
857,Wine,BrandE,Beverages,Melamine,1/10/2024,Spectroscopy,Severe,Medium,Warning Issued
858,Beef,BrandD,Meat,Melamine,1/14/2024,Microbiological Analysis,Minor,Low,Product Recall
859,Bread,BrandC,Dairy,Artificial sweeteners,3/19/2024,Microbiological Analysis,Severe,High,Investigation Launched
860,Beef,BrandD,Bakery,Coloring agents,4/7/2024,Spectroscopy,Minor,Low,Fine Imposed
861,Honey,BrandA,Bakery,Chalk,6/23/2024,Microbiological Analysis,Moderate,High,Product Recall
862,Bread,BrandA,Condiments,Chalk,3/18/2024,Microbiological Analysis,Severe,Medium,Product Recall
863,Butter,BrandD,Dairy,Water,1/19/2024,Sensory Evaluation,Minor,Low,Fine Imposed
864,Wine,BrandB,Meat,Artificial sweeteners,5/22/2024,Spectroscopy,Minor,High,Investigation Launched
865,Honey,BrandD,Condiments,Water,5/18/2024,Chemical Analysis,Minor,Low,Fine Imposed
866,Butter,BrandD,Bakery,Water,6/26/2024,Microbiological Analysis,Moderate,Low,Product Recall
867,Milk,BrandE,Condiments,Chalk,4/6/2024,Chemical Analysis,Severe,Low,Fine Imposed
868,Chicken,BrandE,Bakery,Chalk,3/27/2024,Chemical Analysis,Severe,Low,Product Recall
869,Milk,BrandE,Dairy,Chalk,5/2/2024,Spectroscopy,Moderate,Low,Investigation Launched
870,Wine,BrandB,Condiments,Artificial sweeteners,3/13/2024,Microbiological Analysis,Minor,High,Warning Issued
871,Beef,BrandE,Bakery,Water,5/24/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
872,Chicken,BrandC,Meat,Chalk,6/27/2024,Spectroscopy,Severe,Medium,Product Recall
873,Milk,BrandC,Condiments,Water,6/25/2024,Sensory Evaluation,Minor,High,Investigation Launched
874,Chicken,BrandA,Beverages,Coloring agents,2/17/2024,Chemical Analysis,Severe,High,Investigation Launched
875,Butter,BrandD,Dairy,Water,4/16/2024,Sensory Evaluation,Severe,High,Warning Issued
876,Yogurt,BrandC,Dairy,Coloring agents,1/11/2024,Spectroscopy,Severe,Medium,Product Recall
877,Wine,BrandC,Meat,Chalk,6/2/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
878,Juice,BrandC,Condiments,Chalk,5/22/2024,Sensory Evaluation,Minor,Low,Fine Imposed
879,Yogurt,BrandB,Bakery,Coloring agents,1/15/2024,Spectroscopy,Severe,Medium,Investigation Launched
880,Milk,BrandA,Bakery,Water,5/21/2024,Chemical Analysis,Moderate,Low,Fine Imposed
881,Butter,BrandA,Beverages,Water,3/29/2024,Microbiological Analysis,Minor,High,Product Recall
882,Wine,BrandC,Bakery,Melamine,5/24/2024,Microbiological Analysis,Minor,High,Investigation Launched
883,Butter,BrandA,Bakery,Chalk,6/28/2024,Spectroscopy,Minor,Medium,Product Recall
884,Milk,BrandD,Dairy,Water,3/26/2024,Spectroscopy,Moderate,Medium,Product Recall
885,Juice,BrandA,Meat,Water,1/5/2024,Sensory Evaluation,Minor,High,Fine Imposed
886,Milk,BrandB,Meat,Water,2/15/2024,Chemical Analysis,Moderate,Low,Warning Issued
887,Wine,BrandD,Dairy,Coloring agents,2/12/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
888,Honey,BrandC,Condiments,Water,2/16/2024,Sensory Evaluation,Moderate,High,Investigation Launched
889,Chicken,BrandB,Condiments,Artificial sweeteners,1/6/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
890,Chicken,BrandC,Dairy,Coloring agents,4/23/2024,Spectroscopy,Moderate,High,Product Recall
891,Butter,BrandB,Condiments,Coloring agents,6/15/2024,Microbiological Analysis,Moderate,Low,Product Recall
892,Wine,BrandB,Condiments,Water,1/23/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
893,Wine,BrandA,Dairy,Coloring agents,1/29/2024,Chemical Analysis,Minor,Low,Warning Issued
894,Milk,BrandE,Meat,Coloring agents,5/26/2024,Spectroscopy,Minor,Low,Investigation Launched
895,Chicken,BrandD,Dairy,Artificial sweeteners,3/6/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
896,Bread,BrandA,Meat,Water,6/19/2024,Microbiological Analysis,Moderate,Low,Product Recall
897,Juice,BrandE,Condiments,Melamine,4/24/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
898,Wine,BrandC,Beverages,Coloring agents,1/4/2024,Microbiological Analysis,Severe,High,Warning Issued
899,Chicken,BrandB,Beverages,Chalk,2/29/2024,Sensory Evaluation,Minor,Medium,Product Recall
900,Wine,BrandC,Meat,Melamine,4/21/2024,Spectroscopy,Moderate,High,Investigation Launched
901,Bread,BrandA,Meat,Water,3/20/2024,Chemical Analysis,Minor,High,Product Recall
902,Wine,BrandD,Bakery,Chalk,2/6/2024,Microbiological Analysis,Moderate,Medium,Product Recall
903,Juice,BrandD,Condiments,Water,1/16/2024,Microbiological Analysis,Severe,Medium,Warning Issued
904,Juice,BrandD,Beverages,Coloring agents,3/17/2024,Spectroscopy,Moderate,Medium,Fine Imposed
905,Chicken,BrandA,Bakery,Melamine,3/19/2024,Sensory Evaluation,Minor,High,Warning Issued
906,Milk,BrandA,Meat,Chalk,4/13/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
907,Milk,BrandA,Dairy,Melamine,2/8/2024,Microbiological Analysis,Severe,Medium,Fine Imposed
908,Wine,BrandE,Condiments,Artificial sweeteners,4/8/2024,Chemical Analysis,Severe,Low,Fine Imposed
909,Milk,BrandA,Meat,Water,5/2/2024,Sensory Evaluation,Moderate,Low,Product Recall
910,Beef,BrandD,Meat,Water,6/3/2024,Microbiological Analysis,Severe,High,Product Recall
911,Bread,BrandE,Condiments,Coloring agents,3/26/2024,Spectroscopy,Moderate,Low,Investigation Launched
912,Cheese,BrandC,Bakery,Melamine,6/2/2024,Sensory Evaluation,Moderate,High,Fine Imposed
913,Milk,BrandE,Beverages,Artificial sweeteners,2/5/2024,Sensory Evaluation,Minor,Low,Investigation Launched
914,Cheese,BrandD,Bakery,Melamine,5/19/2024,Microbiological Analysis,Minor,Medium,Product Recall
915,Honey,BrandD,Meat,Artificial sweeteners,2/15/2024,Chemical Analysis,Severe,Low,Product Recall
916,Beef,BrandB,Dairy,Artificial sweeteners,6/4/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
917,Honey,BrandA,Beverages,Artificial sweeteners,1/30/2024,Spectroscopy,Severe,High,Warning Issued
918,Chicken,BrandE,Beverages,Melamine,2/4/2024,Spectroscopy,Minor,Medium,Warning Issued
919,Yogurt,BrandB,Beverages,Water,4/20/2024,Chemical Analysis,Minor,High,Warning Issued
920,Honey,BrandA,Bakery,Melamine,4/27/2024,Spectroscopy,Moderate,Medium,Product Recall
921,Beef,BrandB,Meat,Chalk,6/15/2024,Chemical Analysis,Moderate,Medium,Warning Issued
922,Chicken,BrandB,Bakery,Chalk,3/25/2024,Chemical Analysis,Moderate,High,Product Recall
923,Beef,BrandE,Dairy,Chalk,3/26/2024,Spectroscopy,Moderate,High,Investigation Launched
924,Honey,BrandC,Condiments,Artificial sweeteners,1/17/2024,Sensory Evaluation,Severe,Medium,Product Recall
925,Chicken,BrandD,Meat,Water,3/1/2024,Chemical Analysis,Minor,Low,Warning Issued
926,Cheese,BrandC,Beverages,Chalk,1/8/2024,Sensory Evaluation,Minor,High,Product Recall
927,Honey,BrandE,Beverages,Chalk,6/13/2024,Chemical Analysis,Severe,Medium,Investigation Launched
928,Beef,BrandC,Bakery,Water,3/4/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
929,Yogurt,BrandE,Condiments,Water,5/9/2024,Microbiological Analysis,Minor,High,Product Recall
930,Yogurt,BrandC,Dairy,Water,3/26/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
931,Milk,BrandE,Meat,Coloring agents,3/26/2024,Spectroscopy,Moderate,Medium,Warning Issued
932,Chicken,BrandD,Dairy,Water,4/29/2024,Sensory Evaluation,Moderate,High,Fine Imposed
933,Yogurt,BrandD,Condiments,Water,5/26/2024,Chemical Analysis,Moderate,Low,Product Recall
934,Chicken,BrandA,Bakery,Coloring agents,1/24/2024,Chemical Analysis,Moderate,Low,Product Recall
935,Yogurt,BrandA,Bakery,Chalk,6/12/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
936,Yogurt,BrandD,Bakery,Artificial sweeteners,4/16/2024,Chemical Analysis,Minor,Medium,Fine Imposed
937,Juice,BrandA,Condiments,Chalk,3/29/2024,Sensory Evaluation,Minor,Low,Investigation Launched
938,Wine,BrandC,Beverages,Coloring agents,5/5/2024,Sensory Evaluation,Severe,Low,Investigation Launched
939,Juice,BrandC,Beverages,Water,5/8/2024,Microbiological Analysis,Severe,High,Product Recall
940,Chicken,BrandC,Bakery,Water,2/14/2024,Microbiological Analysis,Minor,Medium,Warning Issued
941,Milk,BrandD,Bakery,Coloring agents,1/7/2024,Microbiological Analysis,Moderate,High,Investigation Launched
942,Cheese,BrandB,Meat,Melamine,1/11/2024,Chemical Analysis,Moderate,Low,Warning Issued
943,Chicken,BrandD,Dairy,Coloring agents,6/6/2024,Chemical Analysis,Moderate,Low,Product Recall
944,Honey,BrandE,Meat,Water,6/17/2024,Microbiological Analysis,Minor,High,Product Recall
945,Beef,BrandA,Meat,Melamine,1/10/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
946,Bread,BrandD,Dairy,Water,5/8/2024,Chemical Analysis,Minor,Low,Fine Imposed
947,Milk,BrandB,Bakery,Chalk,3/1/2024,Chemical Analysis,Moderate,High,Fine Imposed
948,Cheese,BrandE,Beverages,Artificial sweeteners,5/1/2024,Microbiological Analysis,Severe,High,Product Recall
949,Cheese,BrandE,Bakery,Coloring agents,5/31/2024,Spectroscopy,Minor,High,Warning Issued
950,Bread,BrandC,Dairy,Artificial sweeteners,5/27/2024,Microbiological Analysis,Minor,Low,Warning Issued
951,Wine,BrandC,Beverages,Melamine,5/2/2024,Chemical Analysis,Moderate,Medium,Warning Issued
952,Honey,BrandC,Bakery,Artificial sweeteners,2/27/2024,Spectroscopy,Minor,Medium,Investigation Launched
953,Milk,BrandE,Condiments,Artificial sweeteners,1/8/2024,Sensory Evaluation,Minor,Low,Warning Issued
954,Cheese,BrandD,Condiments,Water,6/23/2024,Sensory Evaluation,Severe,High,Product Recall
955,Cheese,BrandA,Meat,Chalk,5/18/2024,Spectroscopy,Moderate,Medium,Product Recall
956,Chicken,BrandD,Dairy,Water,4/20/2024,Sensory Evaluation,Moderate,Medium,Warning Issued
957,Butter,BrandC,Meat,Water,2/28/2024,Spectroscopy,Moderate,High,Product Recall
958,Beef,BrandE,Bakery,Artificial sweeteners,2/12/2024,Sensory Evaluation,Severe,High,Warning Issued
959,Honey,BrandE,Dairy,Chalk,5/7/2024,Chemical Analysis,Minor,Medium,Fine Imposed
960,Beef,BrandB,Meat,Melamine,1/2/2024,Spectroscopy,Severe,Low,Fine Imposed
961,Juice,BrandA,Condiments,Artificial sweeteners,5/21/2024,Chemical Analysis,Severe,Medium,Fine Imposed
962,Beef,BrandA,Dairy,Water,2/2/2024,Microbiological Analysis,Moderate,High,Warning Issued
963,Bread,BrandA,Beverages,Water,4/19/2024,Spectroscopy,Minor,Medium,Product Recall
964,Wine,BrandE,Beverages,Chalk,4/25/2024,Microbiological Analysis,Severe,High,Warning Issued
965,Chicken,BrandD,Dairy,Chalk,3/8/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
966,Yogurt,BrandB,Condiments,Chalk,5/31/2024,Spectroscopy,Severe,Low,Product Recall
967,Milk,BrandB,Beverages,Artificial sweeteners,5/14/2024,Sensory Evaluation,Minor,High,Warning Issued
968,Chicken,BrandB,Bakery,Melamine,5/31/2024,Chemical Analysis,Minor,High,Fine Imposed
969,Bread,BrandD,Dairy,Coloring agents,2/12/2024,Microbiological Analysis,Severe,High,Fine Imposed
970,Milk,BrandB,Meat,Chalk,3/10/2024,Chemical Analysis,Minor,High,Product Recall
971,Juice,BrandA,Bakery,Coloring agents,1/2/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
972,Wine,BrandC,Dairy,Artificial sweeteners,4/26/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
973,Beef,BrandD,Meat,Melamine,1/27/2024,Microbiological Analysis,Severe,Medium,Product Recall
974,Chicken,BrandD,Dairy,Coloring agents,4/7/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
975,Cheese,BrandE,Condiments,Chalk,1/29/2024,Microbiological Analysis,Moderate,High,Investigation Launched
976,Honey,BrandC,Dairy,Artificial sweeteners,1/17/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
977,Cheese,BrandE,Dairy,Artificial sweeteners,4/18/2024,Microbiological Analysis,Moderate,Low,Warning Issued
978,Butter,BrandB,Beverages,Chalk,3/5/2024,Sensory Evaluation,Moderate,Medium,Warning Issued
979,Butter,BrandE,Beverages,Water,3/5/2024,Chemical Analysis,Moderate,Low,Product Recall
980,Wine,BrandA,Bakery,Melamine,2/23/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
981,Bread,BrandB,Condiments,Coloring agents,2/7/2024,Sensory Evaluation,Minor,Low,Product Recall
982,Milk,BrandA,Meat,Chalk,4/25/2024,Sensory Evaluation,Minor,Medium,Product Recall
983,Milk,BrandB,Meat,Artificial sweeteners,5/21/2024,Microbiological Analysis,Moderate,Low,Product Recall
984,Cheese,BrandA,Condiments,Coloring agents,4/29/2024,Microbiological Analysis,Minor,Low,Investigation Launched
985,Bread,BrandE,Condiments,Artificial sweeteners,6/19/2024,Microbiological Analysis,Severe,Medium,Product Recall
986,Chicken,BrandA,Meat,Melamine,1/22/2024,Chemical Analysis,Severe,Low,Investigation Launched
987,Bread,BrandE,Meat,Coloring agents,5/11/2024,Microbiological Analysis,Severe,High,Product Recall
988,Juice,BrandC,Bakery,Coloring agents,3/26/2024,Sensory Evaluation,Minor,Low,Product Recall
989,Yogurt,BrandB,Dairy,Melamine,3/19/2024,Chemical Analysis,Moderate,High,Warning Issued
990,Juice,BrandD,Dairy,Artificial sweeteners,1/18/2024,Spectroscopy,Moderate,High,Fine Imposed
991,Yogurt,BrandB,Bakery,Water,2/14/2024,Chemical Analysis,Minor,High,Warning Issued
992,Honey,BrandE,Beverages,Coloring agents,5/28/2024,Sensory Evaluation,Moderate,High,Product Recall
993,Chicken,BrandE,Meat,Chalk,3/20/2024,Chemical Analysis,Severe,Low,Product Recall
994,Milk,BrandB,Dairy,Artificial sweeteners,3/23/2024,Microbiological Analysis,Severe,Low,Product Recall
995,Juice,BrandB,Beverages,Coloring agents,1/12/2024,Microbiological Analysis,Severe,Medium,Warning Issued
996,Butter,BrandD,Beverages,Artificial sweeteners,6/13/2024,Chemical Analysis,Minor,Medium,Fine Imposed
997,Beef,BrandD,Beverages,Melamine,5/26/2024,Microbiological Analysis,Minor,Medium,Warning Issued
998,Bread,BrandD,Dairy,Chalk,3/25/2024,Microbiological Analysis,Moderate,High,Fine Imposed
999,Juice,BrandE,Beverages,Chalk,3/2/2024,Spectroscopy,Minor,High,Product Recall
1000,Chicken,BrandC,Meat,Artificial sweeteners,5/27/2024,Spectroscopy,Minor,Low,Warning Issued
